;Data;Date;
2022-06-30;1841;2022-06-30;
2022-07-01;1401;2022-07-01;
2022-07-02;1639;2022-07-02;
2022-07-03;1661;2022-07-03;
2022-07-04;1825;2022-07-04;
2022-07-05;2190;2022-07-05;
2022-07-06;1807;2022-07-06;
2022-07-07;2075;2022-07-07;
2022-07-08;1858;2022-07-08;
2022-07-09;1534;2022-07-09;
2022-07-10;1714;2022-07-10;
2022-07-11;1860;2022-07-11;
2022-07-12;1697;2022-07-12;
2022-07-13;1728;2022-07-13;
2022-07-14;1733;2022-07-14;
2022-07-15;1701;2022-07-15;
2022-07-16;1816;2022-07-16;
2022-07-17;1846;2022-07-17;
2022-07-18;1781;2022-07-18;
2022-07-19;1964;2022-07-19;
2022-07-20;2060;2022-07-20;
2022-07-21;2222;2022-07-21;
2022-07-22;1709;2022-07-22;
2022-07-23;2009;2022-07-23;
2022-07-24;1566;2022-07-24;
2022-07-25;2104;2022-07-25;
2022-07-26;1970;2022-07-26;
2022-07-27;2072;2022-07-27;
2022-07-28;2186;2022-07-28;
2022-07-29;2111;2022-07-29;
2022-07-30;1751;2022-07-30;
2022-07-31;2606;2022-07-31;
2022-08-01;2485;2022-08-01;
2022-08-02;2442;2022-08-02;
2022-08-03;2499;2022-08-03;
2022-08-04;3320;2022-08-04;
2022-08-05;2291;2022-08-05;
2022-08-06;2828;2022-08-06;
2022-08-07;2918;2022-08-07;
2022-08-08;2768;2022-08-08;
2022-08-09;2246;2022-08-09;
2022-08-10;1990;2022-08-10;
2022-08-11;1857;2022-08-11;
2022-08-12;2246;2022-08-12;
2022-08-13;6867;2022-08-13;
2022-08-14;3863;2022-08-14;
2022-08-15;3361;2022-08-15;
2022-08-16;3198;2022-08-16;
2022-08-17;3043;2022-08-17;
2022-08-18;2830;2022-08-18;
2022-08-19;2619;2022-08-19;
2022-08-20;2708;2022-08-20;
2022-08-21;2461;2022-08-21;
2022-08-22;2293;2022-08-22;
2022-08-23;2116;2022-08-23;
2022-08-24;2240;2022-08-24;
2022-08-25;1874;2022-08-25;
2022-08-26;3125;2022-08-26;
2022-08-27;2447;2022-08-27;
2022-08-28;2190;2022-08-28;
2022-08-29;2391;2022-08-29;
2022-08-30;2799;2022-08-30;
2022-08-31;2726;2022-08-31;
2022-09-01;2266;2022-09-01;
2022-09-02;1942;2022-09-02;
2022-09-03;1952;2022-09-03;
2022-09-04;2055;2022-09-04;
2022-09-05;2451;2022-09-05;
2022-09-06;1842;2022-09-06;
2022-09-07;2235;2022-09-07;
2022-09-08;1716;2022-09-08;
2022-09-09;1842;2022-09-09;
2022-09-10;1943;2022-09-10;
2022-09-11;1757;2022-09-11;
2022-09-12;1603;2022-09-12;
2022-09-13;2060;2022-09-13;
2022-09-14;1410;2022-09-14;
2022-09-15;1823;2022-09-15;
2022-09-16;1558;2022-09-16;
2022-09-17;1658;2022-09-17;
2022-09-18;2056;2022-09-18;
2022-09-19;1646;2022-09-19;
2022-09-20;1386;2022-09-20;
2022-09-21;1875;2022-09-21;
2022-09-22;1411;2022-09-22;
2022-09-23;1446;2022-09-23;
2022-09-24;1304;2022-09-24;
2022-09-25;1682;2022-09-25;
2022-09-26;1769;2022-09-26;
2022-09-27;1685;2022-09-27;
2022-09-28;1427;2022-09-28;
2022-09-29;1652;2022-09-29;
2022-09-30;1345;2022-09-30;
2022-10-01;1283;2022-10-01;
2022-10-02;1179;2022-10-02;
2022-10-03;1551;2022-10-03;
2022-10-04;1478;2022-10-04;
2022-10-05;1774;2022-10-05;
2022-10-06;1477;2022-10-06;
2022-10-07;1360;2022-10-07;
2022-10-08;1832;2022-10-08;
2022-10-09;1909;2022-10-09;
2022-10-10;2081;2022-10-10;
2022-10-11;1910;2022-10-11;
2022-10-12;2287;2022-10-12;
